,Category,Count1,Count2,Count3,Count_Total
0,3D,40.0,0.0,0.0,40.0
1,60fps,97.0,127.0,91.0,315.0
2,69,498.0,2.0,1.0,501.0
3,Amateur,47470.0,17526.0,7528.0,72524.0
4,Anal,12464.0,8601.0,6292.0,27357.0
5,Anal Masturbation,1113.0,388.0,15.0,1516.0
6,Anal Sex,3608.0,1302.0,111.0,5021.0
7,Animated,106.0,22.0,6.0,134.0
8,Arab,745.0,835.0,198.0,1778.0
9,Asian,8966.0,5670.0,2628.0,17264.0
10,BBC,13.0,3.0,1.0,17.0
11,BBW,3347.0,1588.0,122.0,5057.0
12,BDSM,1736.0,745.0,61.0,2542.0
13,Babe,6672.0,5752.0,3447.0,15871.0
14,Babes,3215.0,1576.0,82.0,4873.0
15,Babysitter,252.0,113.0,105.0,470.0
16,Babysitters,88.0,34.0,19.0,141.0
17,Bareback,123.0,532.0,224.0,879.0
18,Bathroom,392.0,245.0,48.0,685.0
19,Beach,672.0,381.0,15.0,1068.0
20,Behind The Scenes,172.0,148.0,174.0,494.0
21,Behind the Scenes,54.0,33.0,10.0,97.0
22,Big Ass,4008.0,3586.0,2074.0,9668.0
23,Big Boobs,4567.0,3544.0,652.0,8763.0
24,Big Cock,793.0,755.0,326.0,1874.0
25,Big Dick,2780.0,3459.0,2433.0,8672.0
26,Big Tits,10523.0,10793.0,5047.0,26363.0
27,Bikini,134.0,124.0,55.0,313.0
28,Bisexual,33.0,20.0,9.0,62.0
29,Bisexuals,520.0,163.0,16.0,699.0
30,Black,4.0,29.0,9.0,42.0
31,Black Gays,282.0,45.0,7.0,334.0
32,Black and Ebony,1574.0,1937.0,265.0,3776.0
33,Black-haired,1654.0,1506.0,637.0,3797.0
34,Blonde,7748.0,7657.0,3591.0,18996.0
35,Blondes,2350.0,1983.0,355.0,4688.0
36,Blowjob,4754.0,7700.0,5425.0,17879.0
37,Blowjobs,2818.0,3258.0,536.0,6612.0
38,Bondage,783.0,746.0,771.0,2300.0
39,Boots,20.0,47.0,69.0,136.0
40,Brazilian,328.0,309.0,190.0,827.0
41,British,669.0,691.0,455.0,1815.0
42,Brunette,8190.0,5495.0,4448.0,18133.0
43,Brunettes,1409.0,1644.0,371.0,3424.0
44,Bukkake,426.0,379.0,210.0,1015.0
45,CFNM,135.0,52.0,57.0,244.0
46,Car,32.0,100.0,68.0,200.0
47,Cartoon,22.0,30.0,17.0,69.0
48,Cartoons,235.0,71.0,7.0,313.0
49,Casting,216.0,288.0,376.0,880.0
50,Caucasian,423.0,3210.0,5005.0,8638.0
51,Celebrities,812.0,566.0,129.0,1507.0
52,Celebrity,394.0,134.0,122.0,650.0
53,Censored,7.0,113.0,83.0,203.0
54,Chinese,5.0,43.0,49.0,97.0
55,Chubby,165.0,158.0,113.0,436.0
56,Close-ups,450.0,709.0,178.0,1337.0
57,College,607.0,474.0,235.0,1316.0
58,Compilation,2434.0,1181.0,803.0,4418.0
59,Cosplay,114.0,88.0,82.0,284.0
60,Couple,3884.0,2545.0,2979.0,9408.0
61,Cream Pie,635.0,1093.0,388.0,2116.0
62,Creampie,681.0,1143.0,992.0,2816.0
63,Cuckold,455.0,1108.0,279.0,1842.0
64,Cum Shot,112.0,347.0,1047.0,1506.0
65,Cum Swap,3.0,12.0,14.0,29.0
66,Cumshots,3697.0,5643.0,2525.0,11865.0
67,Czech,378.0,287.0,305.0,970.0
68,Danish,30.0,24.0,22.0,76.0
69,Deepthroat,3.0,26.0,64.0,93.0
70,Described Video,19.0,14.0,16.0,49.0
71,Domination,17.0,57.0,58.0,132.0
72,Double Penetration,1701.0,1914.0,1249.0,4864.0
73,Ebony,1835.0,1998.0,1271.0,5104.0
74,Emo,26.0,45.0,22.0,93.0
75,Euro,2978.0,1934.0,1106.0,6018.0
76,Exclusive,852.0,1674.0,2702.0,5228.0
77,Face Sitting,120.0,106.0,51.0,277.0
78,Facial,15.0,50.0,102.0,167.0
79,Facials,586.0,1494.0,901.0,2981.0
80,Fat,13.0,34.0,90.0,137.0
81,Feet,3.0,0.0,1.0,4.0
82,Femdom,492.0,698.0,214.0,1404.0
83,Fetish,2443.0,1661.0,1032.0,5136.0
84,Fingering,589.0,743.0,167.0,1499.0
85,Fisting,183.0,249.0,198.0,630.0
86,Flashing,710.0,569.0,67.0,1346.0
87,Foot Fetish,129.0,139.0,49.0,317.0
88,Footjob,7.0,16.0,11.0,34.0
89,For Women,928.0,661.0,522.0,2111.0
90,French,910.0,1189.0,610.0,2709.0
91,Funny,504.0,720.0,320.0,1544.0
92,Gagging,4.0,11.0,11.0,26.0
93,Gangbang,1548.0,1326.0,1343.0,4217.0
94,Gaping,50.0,136.0,92.0,278.0
95,Gay,828.0,427.0,634.0,1889.0
96,Gay Couple,71.0,478.0,219.0,768.0
97,Gay Group Sex,9.0,129.0,74.0,212.0
98,Gays,1423.0,617.0,46.0,2086.0
99,German,1604.0,2038.0,1228.0,4870.0
100,Glamour,36.0,81.0,476.0,593.0
101,Glasses,1.0,10.0,12.0,23.0
102,Glory Hole,3.0,9.0,11.0,23.0
103,Gothic,4.0,15.0,18.0,37.0
104,Grannies,1566.0,1045.0,376.0,2987.0
105,Granny,9.0,18.0,18.0,45.0
106,Group Sex,1615.0,2911.0,1312.0,5838.0
107,HD,19415.0,17404.0,15549.0,52368.0
108,Hairy,1523.0,1727.0,646.0,3896.0
109,Handjob,463.0,459.0,401.0,1323.0
110,Handjobs,372.0,1055.0,804.0,2231.0
111,Hardcore,8857.0,11968.0,7374.0,28199.0
112,Hentai,51.0,113.0,119.0,283.0
113,Hidden Cams,886.0,1933.0,546.0,3365.0
114,High Heels,4.0,43.0,202.0,249.0
115,Hospital,1.0,2.0,11.0,14.0
116,Indian,649.0,862.0,538.0,2049.0
117,Interracial,1905.0,3829.0,3881.0,9615.0
118,Italian,358.0,677.0,414.0,1449.0
119,Japanese,2115.0,3163.0,2404.0,7682.0
120,Kissing,13.0,34.0,69.0,116.0
121,Korean,211.0,152.0,360.0,723.0
122,Ladyboys,253.0,27.0,0.0,280.0
123,Latex,16.0,70.0,88.0,174.0
124,Latin,152.0,603.0,642.0,1397.0
125,Latina,1436.0,1323.0,999.0,3758.0
126,Lesbian,2521.0,3371.0,2785.0,8677.0
127,Lesbians,2093.0,2486.0,1114.0,5693.0
128,Licking Vagina,1.0,42.0,97.0,140.0
129,Lingerie,114.0,253.0,236.0,603.0
130,MILF,6327.0,3587.0,3477.0,13391.0
131,MILFs,389.0,2651.0,3831.0,6871.0
132,Massage,721.0,1076.0,1006.0,2803.0
133,Masturbation,4045.0,6962.0,5176.0,16183.0
134,Mature,1730.0,1235.0,673.0,3638.0
135,Matures,3291.0,7906.0,7672.0,18869.0
136,Men,956.0,745.0,292.0,1993.0
137,Midgets,19.0,50.0,54.0,123.0
138,Muscular,6.0,18.0,28.0,52.0
139,Music,152.0,236.0,225.0,613.0
