,Category,Count_Total,Total_views,Avg_ratings
0,3D,40.0,2807189.0,71.65
1,60fps,315.0,36959579.0,73.03092783505154
2,69,501.0,81311080.0,80.19076305220884
3,Amateur,72524.0,15083247430.0,74.8603366649132
4,Anal,27357.0,4808210528.0,79.20280580851588
5,Anal Masturbation,1516.0,135144004.0,77.82569631626235
6,Anal Sex,5021.0,380461931.0,77.30155210643015
7,Animated,134.0,8679073.0,68.0754716981132
8,Arab,1778.0,406821341.0,75.40707964601769
9,Asian,17264.0,3181931517.0,72.13388429752067
10,BBC,17.0,5565169.0,77.61538461538461
11,BBW,5057.0,1209242680.0,72.92903225806451
12,BDSM,2542.0,514556019.0,
13,Babe,15871.0,2386950504.0,77.45473621103118
14,Babes,4873.0,1111940985.0,
15,Babysitter,470.0,299648280.0,77.41666666666667
16,Babysitters,141.0,36081155.0,
17,Bareback,879.0,1772659.0,70.32520325203252
18,Bathroom,685.0,39433009.0,77.44642857142857
19,Beach,1068.0,262725263.0,84.0
20,Behind The Scenes,494.0,41389810.0,70.68604651162791
21,Behind the Scenes,97.0,3207153.0,67.31481481481481
22,Big Ass,9668.0,1803618044.0,77.40718562874251
23,Big Boobs,8763.0,1725574568.0,
24,Big Cock,1874.0,119052352.0,74.94955863808323
25,Big Dick,8672.0,1077134700.0,75.89748201438849
26,Big Tits,26363.0,3552562556.0,79.4193671006367
27,Bikini,313.0,9011748.0,73.91791044776119
28,Bisexual,62.0,2655322.0,72.45454545454545
29,Bisexuals,699.0,165989671.0,
30,Black,42.0,109437.0,73.5
31,Black Gays,334.0,81226199.0,
32,Black and Ebony,3776.0,541245299.0,
33,Black-haired,3797.0,163827939.0,79.50362756952842
34,Blonde,18996.0,1811886138.0,78.06866288074342
35,Blondes,4688.0,850300465.0,
36,Blowjob,17879.0,1044116389.0,76.79533024821203
37,Blowjobs,6612.0,1092973418.0,
38,Bondage,2300.0,189186149.0,70.02809706257982
39,Boots,136.0,1410615.0,69.0
40,Brazilian,827.0,131338821.0,77.4017094017094
41,British,1815.0,185820914.0,74.52803738317758
42,Brunette,18133.0,2665512749.0,78.43040293040293
43,Brunettes,3424.0,502215942.0,
44,Bukkake,1015.0,143324074.0,75.83898305084746
45,CFNM,244.0,2547857.0,48.644444444444446
46,Car,200.0,1434712.0,74.78125
47,Cartoon,69.0,2189094.0,71.86363636363636
48,Cartoons,313.0,86563259.0,
49,Casting,880.0,136090188.0,75.52314814814815
50,Caucasian,8638.0,34899222.0,75.36406619385343
51,Celebrities,1507.0,326948116.0,
52,Celebrity,650.0,171151128.0,70.87055837563452
53,Censored,203.0,132016.0,65.85714285714286
54,Chinese,97.0,1151763.0,
55,Chubby,436.0,2751100.0,58.75757575757576
56,Close-ups,1337.0,169680730.0,
57,College,1316.0,359506634.0,76.26853377265239
58,Compilation,4418.0,1592720782.0,76.82456861133936
59,Cosplay,284.0,59371580.0,76.78947368421052
60,Couple,9408.0,71861835.0,59.31230690010299
61,Cream Pie,2116.0,255919836.0,61.0
62,Creampie,2816.0,339012630.0,78.44787077826726
63,Cuckold,1842.0,157658691.0,73.29032258064517
64,Cum Shot,1506.0,3792147.0,76.58928571428571
65,Cum Swap,29.0,50294.0,77.66666666666667
66,Cumshots,11865.0,1395226604.0,77.70495951417004
67,Czech,970.0,121034830.0,74.87116564417178
68,Danish,76.0,8828606.0,
69,Deepthroat,93.0,75977.0,60.0
70,Described Video,49.0,9652260.0,68.78947368421052
71,Domination,132.0,451415.0,60.64705882352941
72,Double Penetration,4864.0,604330013.0,79.67552828902522
73,Ebony,5104.0,697097382.0,77.18801089918256
74,Emo,93.0,7330470.0,
75,Euro,6018.0,1009011300.0,78.21087978509067
76,Exclusive,5228.0,438978350.0,77.38262910798122
77,Face Sitting,277.0,33101883.0,
78,Facial,167.0,169528.0,69.2
79,Facials,2981.0,235182054.0,
80,Fat,137.0,774309.0,65.07692307692308
81,Feet,4.0,6607220.0,75.33333333333333
82,Femdom,1404.0,128778607.0,58.04545454545455
83,Fetish,5136.0,766772318.0,76.15145313139583
84,Fingering,1499.0,212768141.0,
85,Fisting,630.0,69352165.0,77.61748633879782
86,Flashing,1346.0,240697110.0,
87,Foot Fetish,317.0,38803489.0,
88,Footjob,34.0,47819.0,73.42857142857143
89,For Women,2111.0,704385410.0,77.73706896551724
90,French,2709.0,339511012.0,75.9421768707483
91,Funny,1544.0,236863609.0,77.05454545454545
92,Gagging,26.0,23374.0,62.0
93,Gangbang,4217.0,568625857.0,72.98315467075038
94,Gaping,278.0,15840579.0,
95,Gay,1889.0,6338458.0,69.21376811594203
96,Gay Couple,768.0,4220834.0,79.6056338028169
97,Gay Group Sex,212.0,331610.0,80.33333333333333
98,Gays,2086.0,390290067.0,
