,Category,Count_Total,Total_views_all,Avg_ratings_all
0,3D,40.0,2807189.0,23.883333333333336
1,60fps,315.0,118646399.0,74.53726263994955
2,69,501.0,81423980.0,77.06358768406962
3,Amateur,72524.0,24277329190.0,75.67602127736775
4,Anal,27357.0,11115289795.0,79.44644191394117
5,Anal Masturbation,1516.0,167107889.0,77.03577047884575
6,Anal Sex,5021.0,524250956.0,77.41728575009456
7,Animated,134.0,11882490.0,68.2221269296741
8,Arab,1778.0,1006316721.0,74.94500615146377
9,Asian,17264.0,5756500703.0,75.13459553309958
10,BBC,17.0,6806566.0,76.09401709401709
11,BBW,5057.0,1770714279.0,73.44180955148697
12,BDSM,2542.0,771501858.0,0.0
13,Babe,15871.0,6031615925.0,77.68923712761539
14,Babes,4873.0,1707450894.0,0.0
15,Babysitter,470.0,555052153.0,76.49952942829049
16,Babysitters,141.0,60165212.0,0.0
17,Bareback,879.0,26749610.0,70.21013980581536
18,Bathroom,685.0,71498451.0,75.15694444444445
19,Beach,1068.0,420333000.0,71.5
20,Behind The Scenes,494.0,127284390.0,71.80432678067
21,Behind the Scenes,97.0,5998491.0,71.15342312008978
22,Big Ass,9668.0,4835685152.0,77.77071050695412
23,Big Boobs,8763.0,3218134480.0,0.0
24,Big Cock,1874.0,275876872.0,76.0547418946511
25,Big Dick,8672.0,4049271910.0,76.53816702467188
26,Big Tits,26363.0,10091501100.0,78.07860547589046
27,Bikini,313.0,34903675.0,76.15132694299761
28,Bisexual,62.0,6333736.0,75.15151515151514
29,Bisexuals,699.0,225480738.0,0.0
30,Black,42.0,1451150.0,77.78480204342274
31,Black Gays,334.0,105895804.0,0.0
32,Black and Ebony,3776.0,1368666090.0,0.0
33,Black-haired,3797.0,463281307.0,79.40312880946306
34,Blonde,18996.0,5046637238.0,77.81072662980723
35,Blondes,4688.0,1685872546.0,0.0
36,Blowjob,17879.0,3943920502.0,77.33876320380982
37,Blowjobs,6612.0,2388669576.0,0.0
38,Bondage,2300.0,717486818.0,72.4042528447415
39,Boots,136.0,11060103.0,75.37845616198992
40,Brazilian,827.0,297257810.0,77.56762465289047
41,British,1815.0,629141356.0,74.54278877684867
42,Brunette,18133.0,5367189235.0,77.76442568140489
43,Brunettes,3424.0,1200960442.0,0.0
44,Bukkake,1015.0,305757801.0,76.16846679586276
45,CFNM,244.0,13111247.0,65.73562003298845
46,Car,200.0,13857829.0,77.73610294117647
47,Cartoon,69.0,11895903.0,74.36892453951278
48,Cartoons,313.0,111042169.0,0.0
49,Casting,880.0,469635853.0,75.65990281061204
50,Caucasian,8638.0,870610639.0,78.19231299694611
51,Celebrities,1507.0,592714048.0,0.0
52,Celebrity,650.0,396612628.0,72.1660934737149
53,Censored,203.0,8596826.0,60.33515097050656
54,Chinese,97.0,31054116.0,0.0
55,Chubby,436.0,10285617.0,67.35233481900896
56,Close-ups,1337.0,481400471.0,0.0
57,College,1316.0,837936862.0,76.30339341333978
58,Compilation,4418.0,2920647355.0,76.82035081912466
59,Cosplay,284.0,133828631.0,75.92751487921578
60,Couple,9408.0,458448910.0,67.64266090267807
61,Cream Pie,2116.0,743367483.0,73.20753205128206
62,Creampie,2816.0,1851379340.0,78.02357323715505
63,Cuckold,1842.0,640118788.0,72.97445535296868
