,Category,Count_Total,Total_views,Sum_ratings
0,3D,40.0,2807189.0,2866.0
1,60fps,315.0,36959579.0,7084.0
2,69,501.0,81311080.0,39935.0
3,Amateur,72524.0,15083247430.0,1423095.0
4,Anal,27357.0,4808210528.0,321801.0
5,Anal Masturbation,1516.0,135144004.0,86620.0
6,Anal Sex,5021.0,380461931.0,278904.0
7,Animated,134.0,8679073.0,7216.0
8,Arab,1778.0,406821341.0,17042.0
9,Asian,17264.0,3181931517.0,218205.0
10,BBC,17.0,5565169.0,1009.0
11,BBW,5057.0,1209242680.0,11304.0
12,BDSM,2542.0,514556019.0,0.0
13,Babe,15871.0,2386950504.0,516778.0
14,Babes,4873.0,1111940985.0,0.0
15,Babysitter,470.0,299648280.0,19509.0
16,Babysitters,141.0,36081155.0,0.0
17,Bareback,879.0,1772659.0,8650.0
18,Bathroom,685.0,39433009.0,30359.0
19,Beach,1068.0,262725263.0,84.0
20,Behind The Scenes,494.0,41389810.0,12158.0
21,Behind the Scenes,97.0,3207153.0,3635.0
22,Big Ass,9668.0,1803618044.0,310248.0
23,Big Boobs,8763.0,1725574568.0,0.0
24,Big Cock,1874.0,119052352.0,59435.0
25,Big Dick,8672.0,1077134700.0,210995.0
26,Big Tits,26363.0,3552562556.0,835730.0
27,Bikini,313.0,9011748.0,9905.0
28,Bisexual,62.0,2655322.0,2391.0
29,Bisexuals,699.0,165989671.0,0.0
30,Black,42.0,109437.0,294.0
31,Black Gays,334.0,81226199.0,0.0
32,Black and Ebony,3776.0,541245299.0,0.0
33,Black-haired,3797.0,163827939.0,131499.0
34,Blonde,18996.0,1811886138.0,604876.0
35,Blondes,4688.0,850300465.0,0.0
36,Blowjob,17879.0,1044116389.0,365085.0
37,Blowjobs,6612.0,1092973418.0,0.0
38,Bondage,2300.0,189186149.0,54832.0
39,Boots,136.0,1410615.0,1380.0
40,Brazilian,827.0,131338821.0,18112.0
41,British,1815.0,185820914.0,15949.0
42,Brunette,18133.0,2665512749.0,642345.0
43,Brunettes,3424.0,502215942.0,0.0
44,Bukkake,1015.0,143324074.0,17898.0
45,CFNM,244.0,2547857.0,6567.0
46,Car,200.0,1434712.0,2393.0
